Project,Deliverable,Due Date,Time spent
Cookie Lab,Paper Presentation,2022-09-29,3
INF3001,Pecha Cucha presentation,2022-09-30,6
TA-INF2208,IPP & GPP,2022-10-03,1.5
TA-INF2208,IPP & GPP,2022-10-10,1
TA-INF2208,Tutorial,2022-10-13,2
TA-INF2208,Presentation,2022-10-13,1
TA-INF2208,IPP & GPP,2022-10-17,1
INF2241,Presentation #1,2022-10-18,5
INF2241,Reflection #1,2022-10-20,20
TA-INF2208,IPP & GPP,2022-10-24,0.5
TA-CCT419,Game critique #1,2022-10-30,15
TA-INF2208,IPP & GPP,2022-10-31,0.2
TA-CCT419,Lecture,2022-10-31,3
TA-INF2208,Assignment 1,2022-11-03,5
TA-INF2208,Presentation,2022-11-03,1
TA-INF2208,IPP & GPP,2022-11-07,0.35
TA-CCT419,Lecture,2022-11-07,3
TA-CCT419,Game critique #2,2022-11-20,12
TA-INF2208,IPP & GPP,2022-11-21,1
INF2241,Presentation #2,2022-11-23,10
INF2241,Reflection #2,2022-11-24,10
TA-INF2208,IPP & GPP,2022-11-28,0.5
TA-CCT419,Usability Report,2022-12-05,5
TA-INF2208,IPP & GPP,2022-12-05,0.5
TA-CCT419,Sell Sheet & Presentation,2022-12-05,2
INF2241,Presentation #3,2022-12-06,5
TA-INF2208,final presentation,2022-12-08,3
TA-INF2208,final report + final demo,2022-12-08,10
INF3001,Final essay,2022-12-09,10
TA-CCT419,CCT419 - Final Game,2022-12-13,15
INF2241,Reflection #3,2022-12-16,20
Professional,Apply to Microsoft internship position,2023-01-13,10
INF3104,Quiz,2023-01-20,1
INF3104,Tutorial,2023-01-20,2
TA-INF2192,Project status report,2023-01-27,0.5
INF3104,Paper 1,2023-01-27,15
INF3104,Quiz,2023-01-27,0.5
INF3104,Tutorial,2023-01-27,1
TA-INF2192,Project status report,2023-02-03,0.5
INF3104,Quiz,2023-02-03,0.5
Admin,SRI Scholarship Applicaton,2023-02-05,5
INF3104,Quiz,2023-02-10,0.5
TA-INF2192,Project status report,2023-02-17,0.5
Research,CUI - paper abstract,2023-02-15,5
TA-INF2192,Discovery report,2023-02-20,10
Research,CUI - paper submission,2023-02-26,100
TA-INF2192,Project status report,2023-03-05,0.5
Research,CHI - CUI workshop submission,2023-03-01,10
Service Work,Data Science Hackathon,2023-03-02,12
INF2169,Assignment 1,2023-03-03,20
TA-INF2192,Project status report,2023-03-03,0.5
TA-INF2192,Playback #1,2023-03-07,7
TA-INF2192,Define report,2023-03-10,7
INF3104,Paper 3,2023-03-10,20